seqTech	capDesign	sizeFrac	sampleRep	splicingStatus	partition	nt_coverage_count	nt_coverage_percent
ONT	Post	0+	28hpf-noSS500Rep1	unspliced	intron	188167	0.112327
ONT	Post	0+	28hpfRep1	all	exonOfNCT	9234175	0.655899
ONT	Post	0+	28hpfRep1	all	intergenic	3077087	0.218564
ONT	Post	0+	28hpfRep1	all	intron	1767384	0.125537
ONT	Post	0+	28hpfRep1	spliced	exonOfNCT	8518867	0.702452
ONT	Post	0+	28hpfRep1	spliced	intergenic	2279937	0.188
ONT	Post	0+	28hpfRep1	spliced	intron	1328528	0.109548
ONT	Post	0+	28hpfRep1	unspliced	exonOfNCT	1589365	0.501433
ONT	Post	0+	28hpfRep1	unspliced	intergenic	1035749	0.326772
ONT	Post	0+	28hpfRep1	unspliced	intron	544529	0.171795
ONT	Post	0+	28hpf-TSORep1	all	exonOfNCT	28287307	0.597362
ONT	Post	0+	28hpf-TSORep1	all	intergenic	8571243	0.181005
ONT	Post	0+	28hpf-TSORep1	all	intron	10495171	0.221634
ONT	Post	0+	28hpf-TSORep1	spliced	exonOfNCT	25900088	0.723693
ONT	Post	0+	28hpf-TSORep1	spliced	intergenic	5148150	0.143848
ONT	Post	0+	28hpf-TSORep1	spliced	intron	4740556	0.132459
ONT	Post	0+	28hpf-TSORep1	unspliced	exonOfNCT	9169938	0.446565
ONT	Post	0+	28hpf-TSORep1	unspliced	intergenic	4839280	0.235667
ONT	Post	0+	28hpf-TSORep1	unspliced	intron	6525173	0.317768
ONT	Post	0+	BrainRep1	all	exonOfNCT	6729306	0.582066
ONT	Post	0+	BrainRep1	all	intergenic	2917231	0.252332
ONT	Post	0+	BrainRep1	all	intron	1914528	0.165601
ONT	Post	0+	BrainRep1	spliced	exonOfNCT	5364367	0.638425
ONT	Post	0+	BrainRep1	spliced	intergenic	1808853	0.215275
ONT	Post	0+	BrainRep1	spliced	intron	1229283	0.1463
ONT	Post	0+	BrainRep1	unspliced	exonOfNCT	2231430	0.51128
ONT	Post	0+	BrainRep1	unspliced	intergenic	1338742	0.306742
ONT	Post	0+	BrainRep1	unspliced	intron	794223	0.181978
ONT	Post	0+	Heart-noSS500Rep1	all	exonOfNCT	13490823	0.810778
ONT	Post	0+	Heart-noSS500Rep1	all	intergenic	1853058	0.111366
ONT	Post	0+	Heart-noSS500Rep1	all	intron	1295482	0.0778565
ONT	Post	0+	Heart-noSS500Rep1	spliced	exonOfNCT	13093097	0.837142
ONT	Post	0+	Heart-noSS500Rep1	spliced	intergenic	1529961	0.0978221
ONT	Post	0+	Heart-noSS500Rep1	spliced	intron	1017177	0.0650359
ONT	Post	0+	Heart-noSS500Rep1	unspliced	exonOfNCT	1387610	0.651111
ONT	Post	0+	Heart-noSS500Rep1	unspliced	intergenic	423948	0.19893
ONT	Post	0+	Heart-noSS500Rep1	unspliced	intron	319583	0.149959
ONT	Post	0+	HeartRep1	all	exonOfNCT	8833543	0.671143
ONT	Post	0+	HeartRep1	all	intergenic	2646224	0.201051
ONT	Post	0+	HeartRep1	all	intron	1682165	0.127805
ONT	Post	0+	HeartRep1	spliced	exonOfNCT	8156534	0.714205
ONT	Post	0+	HeartRep1	spliced	intergenic	2016618	0.17658
ONT	Post	0+	HeartRep1	spliced	intron	1247287	0.109215
ONT	Post	0+	HeartRep1	unspliced	exonOfNCT	1486807	0.523067
ONT	Post	0+	HeartRep1	unspliced	intergenic	838083	0.294842
ONT	Post	0+	HeartRep1	unspliced	intron	517591	0.182091
ONT	Post	0+	Heart-TSORep1	all	exonOfNCT	18306125	0.707664
ONT	Post	0+	Heart-TSORep1	all	intergenic	4064989	0.157141
ONT	Post	0+	Heart-TSORep1	all	intron	3497287	0.135195
ONT	Post	0+	Heart-TSORep1	spliced	exonOfNCT	16782890	0.788214
ONT	Post	0+	Heart-TSORep1	spliced	intergenic	2654616	0.124675
ONT	Post	0+	Heart-TSORep1	spliced	intron	1854797	0.0871111
ONT	Post	0+	Heart-TSORep1	unspliced	exonOfNCT	4458481	0.53699
ONT	Post	0+	Heart-TSORep1	unspliced	intergenic	1980009	0.238477
ONT	Post	0+	Heart-TSORep1	unspliced	intron	1864240	0.224533
ONT	Post	0+	LiverRep1	all	exonOfNCT	9451716	0.707495
ONT	Post	0+	LiverRep1	all	intergenic	2145402	0.160591
ONT	Post	0+	LiverRep1	all	intron	1762292	0.131914
ONT	Post	0+	LiverRep1	spliced	exonOfNCT	9045467	0.736425
ONT	Post	0+	LiverRep1	spliced	intergenic	1777742	0.144733
ONT	Post	0+	LiverRep1	spliced	intron	1459728	0.118842
ONT	Post	0+	LiverRep1	unspliced	exonOfNCT	1137780	0.54694
ONT	Post	0+	LiverRep1	unspliced	intergenic	532768	0.256106
ONT	Post	0+	LiverRep1	unspliced	intron	409715	0.196953
ONT	Post	0+	OvaryRep1	all	exonOfNCT	9215999	0.652383
ONT	Post	0+	OvaryRep1	all	intergenic	3225691	0.228341
ONT	Post	0+	OvaryRep1	all	intron	1684970	0.119276
ONT	Post	0+	OvaryRep1	spliced	exonOfNCT	8763134	0.669717
ONT	Post	0+	OvaryRep1	spliced	intergenic	2806739	0.214503
ONT	Post	0+	OvaryRep1	spliced	intron	1514950	0.115779
ONT	Post	0+	OvaryRep1	unspliced	exonOfNCT	1200153	0.585535
ONT	Post	0+	OvaryRep1	unspliced	intergenic	618437	0.301725
ONT	Post	0+	OvaryRep1	unspliced	intron	231079	0.11274
ONT	Post	0+	ShieldRep1	all	exonOfNCT	5027069	0.557154
ONT	Post	0+	ShieldRep1	all	intergenic	2369344	0.262596
ONT	Post	0+	ShieldRep1	all	intron	1626355	0.18025
ONT	Post	0+	ShieldRep1	spliced	exonOfNCT	4347312	0.595685
ONT	Post	0+	ShieldRep1	spliced	intergenic	1720917	0.235807
ONT	Post	0+	ShieldRep1	spliced	intron	1229772	0.168508
ONT	Post	0+	ShieldRep1	unspliced	exonOfNCT	1255803	0.487182
ONT	Post	0+	ShieldRep1	unspliced	intergenic	827315	0.320952
ONT	Post	0+	ShieldRep1	unspliced	intron	494570	0.191866
ONT	Post	0+	Testis-noSS500Rep1	all	exonOfNCT	11695905	0.731043
ONT	Post	0+	Testis-noSS500Rep1	all	intergenic	2580986	0.161323
ONT	Post	0+	Testis-noSS500Rep1	all	intron	1722027	0.107634
ONT	Post	0+	Testis-noSS500Rep1	spliced	exonOfNCT	11180817	0.764968
ONT	Post	0+	Testis-noSS500Rep1	spliced	intergenic	2066028	0.141353
ONT	Post	0+	Testis-noSS500Rep1	spliced	intron	1369210	0.0936785
ONT	Post	0+	Testis-noSS500Rep1	unspliced	exonOfNCT	1444156	0.566018
ONT	Post	0+	Testis-noSS500Rep1	unspliced	intergenic	695870	0.272737
ONT	Post	0+	Testis-noSS500Rep1	unspliced	intron	411406	0.161245
ONT	Post	0+	TestisRep1	all	exonOfNCT	6283667	0.529572
ONT	Post	0+	TestisRep1	all	intergenic	3651125	0.307708
ONT	Post	0+	TestisRep1	all	intron	1930768	0.16272
ONT	Post	0+	TestisRep1	spliced	exonOfNCT	5743491	0.556362
ONT	Post	0+	TestisRep1	spliced	intergenic	2985050	0.289156
ONT	Post	0+	TestisRep1	spliced	intron	1594763	0.154482
ONT	Post	0+	TestisRep1	unspliced	exonOfNCT	1022538	0.434496
ONT	Post	0+	TestisRep1	unspliced	intergenic	903126	0.383756
ONT	Post	0+	TestisRep1	unspliced	intron	427723	0.181748
ONT	Post	0+	Testis-TSORep1	all	exonOfNCT	19457876	0.737689
ONT	Post	0+	Testis-TSORep1	all	intergenic	4383666	0.166194
ONT	Post	0+	Testis-TSORep1	all	intron	2535260	0.096117
ONT	Post	0+	Testis-TSORep1	spliced	exonOfNCT	17683037	0.807657
ONT	Post	0+	Testis-TSORep1	spliced	intergenic	2718877	0.124182
ONT	Post	0+	Testis-TSORep1	spliced	intron	1492338	0.0681612
ONT	Post	0+	Testis-TSORep1	unspliced	exonOfNCT	5048281	0.601638
ONT	Post	0+	Testis-TSORep1	unspliced	intergenic	2171008	0.258734
ONT	Post	0+	Testis-TSORep1	unspliced	intron	1171611	0.139629
ONT	Pre	0+	2-4Cell-noSS500Rep1	all	exonOfNCT	14737606	0.820987
ONT	Pre	0+	2-4Cell-noSS500Rep1	all	intergenic	1924830	0.107226
ONT	Pre	0+	2-4Cell-noSS500Rep1	all	intron	1288652	0.0717868
ONT	Pre	0+	2-4Cell-noSS500Rep1	spliced	exonOfNCT	14246876	0.832764
ONT	Pre	0+	2-4Cell-noSS500Rep1	spliced	intergenic	1677732	0.0980675
ONT	Pre	0+	2-4Cell-noSS500Rep1	spliced	intron	1183329	0.0691684
ONT	Pre	0+	2-4Cell-noSS500Rep1	unspliced	exonOfNCT	1945148	0.797888
ONT	Pre	0+	2-4Cell-noSS500Rep1	unspliced	intergenic	361726	0.148378
ONT	Pre	0+	2-4Cell-noSS500Rep1	unspliced	intron	130996	0.0537338
ONT	Pre	0+	2-4CellRep1	all	exonOfNCT	18485576	0.765845
ONT	Pre	0+	2-4CellRep1	all	intergenic	3213699	0.133141
ONT	Pre	0+	2-4CellRep1	all	intron	2438207	0.101013
ONT	Pre	0+	2-4CellRep1	spliced	exonOfNCT	17736129	0.783714
ONT	Pre	0+	2-4CellRep1	spliced	intergenic	2712407	0.119854
ONT	Pre	0+	2-4CellRep1	spliced	intron	2182323	0.0964313
ONT	Pre	0+	2-4CellRep1	unspliced	exonOfNCT	3152801	0.740161
ONT	Pre	0+	2-4CellRep1	unspliced	intergenic	777128	0.182441
ONT	Pre	0+	2-4CellRep1	unspliced	intron	329684	0.0773976
ONT	Pre	0+	2-4Cell-TSORep1	all	exonOfNCT	23336904	0.787619
ONT	Pre	0+	2-4Cell-TSORep1	all	intergenic	4263472	0.143892
ONT	Pre	0+	2-4Cell-TSORep1	all	intron	2029315	0.0684892
ONT	Pre	0+	2-4Cell-TSORep1	spliced	exonOfNCT	22153112	0.814677
ONT	Pre	0+	2-4Cell-TSORep1	spliced	intergenic	3303665	0.121492
ONT	Pre	0+	2-4Cell-TSORep1	spliced	intron	1735739	0.0638315
ONT	Pre	0+	2-4Cell-TSORep1	unspliced	exonOfNCT	6266435	0.731114
ONT	Pre	0+	2-4Cell-TSORep1	unspliced	intergenic	1844435	0.215193
ONT	Pre	0+	2-4Cell-TSORep1	unspliced	intron	460213	0.0536937
ONT	Pre	0+	28hpf-noSS500Rep1	all	exonOfNCT	11237676	0.841653
ONT	Pre	0+	28hpf-noSS500Rep1	all	intergenic	1303269	0.0976092
ONT	Pre	0+	28hpf-noSS500Rep1	all	intron	810963	0.0607376
ONT	Pre	0+	28hpf-noSS500Rep1	spliced	exonOfNCT	10817462	0.867495
ONT	Pre	0+	28hpf-noSS500Rep1	spliced	intergenic	999134	0.0801245
ONT	Pre	0+	28hpf-noSS500Rep1	spliced	intron	653172	0.0523804
ONT	Pre	0+	28hpf-noSS500Rep1	unspliced	exonOfNCT	1130093	0.674614
ONT	Pre	0+	28hpf-noSS500Rep1	unspliced	intergenic	356911	0.213059
ONT	Pre	0+	28hpf-noSS500Rep1	unspliced	intron	188167	0.112327
ONT	Pre	0+	28hpfRep1	all	exonOfNCT	14102308	0.80755
ONT	Pre	0+	28hpfRep1	all	intergenic	1991897	0.114063
ONT	Pre	0+	28hpfRep1	all	intron	1368871	0.0783866
ONT	Pre	0+	28hpfRep1	spliced	exonOfNCT	13528253	0.84064
ONT	Pre	0+	28hpfRep1	spliced	intergenic	1517945	0.0943244
ONT	Pre	0+	28hpfRep1	spliced	intron	1046609	0.0650358
ONT	Pre	0+	28hpfRep1	unspliced	exonOfNCT	1495593	0.613208
ONT	Pre	0+	28hpfRep1	unspliced	intergenic	563810	0.231168
ONT	Pre	0+	28hpfRep1	unspliced	intron	379562	0.155624
ONT	Pre	0+	28hpf-TSORep1	all	exonOfNCT	28287307	0.597362
ONT	Pre	0+	28hpf-TSORep1	all	intergenic	8571243	0.181005
ONT	Pre	0+	28hpf-TSORep1	all	intron	10495171	0.221634
ONT	Pre	0+	28hpf-TSORep1	spliced	exonOfNCT	25900088	0.723693
ONT	Pre	0+	28hpf-TSORep1	spliced	intergenic	5148150	0.143848
ONT	Pre	0+	28hpf-TSORep1	spliced	intron	4740556	0.132459
ONT	Pre	0+	28hpf-TSORep1	unspliced	exonOfNCT	9169938	0.446565
ONT	Pre	0+	28hpf-TSORep1	unspliced	intergenic	4839280	0.235667
ONT	Pre	0+	28hpf-TSORep1	unspliced	intron	6525173	0.317768
ONT	Pre	0+	BrainRep1	all	exonOfNCT	16197977	0.725666
ONT	Pre	0+	BrainRep1	all	intergenic	3364228	0.150717
ONT	Pre	0+	BrainRep1	all	intron	2759330	0.123617
ONT	Pre	0+	BrainRep1	spliced	exonOfNCT	14982123	0.780272
ONT	Pre	0+	BrainRep1	spliced	intergenic	2267141	0.118073
ONT	Pre	0+	BrainRep1	spliced	intron	1951886	0.101655
ONT	Pre	0+	BrainRep1	unspliced	exonOfNCT	3117442	0.582147
ONT	Pre	0+	BrainRep1	unspliced	intergenic	1323681	0.247183
ONT	Pre	0+	BrainRep1	unspliced	intron	913950	0.17067
ONT	Pre	0+	Heart-noSS500Rep1	all	exonOfNCT	13490823	0.810778
ONT	Pre	0+	Heart-noSS500Rep1	all	intergenic	1853058	0.111366
ONT	Pre	0+	Heart-noSS500Rep1	all	intron	1295482	0.0778565
ONT	Pre	0+	Heart-noSS500Rep1	spliced	exonOfNCT	13093097	0.837142
ONT	Pre	0+	Heart-noSS500Rep1	spliced	intergenic	1529961	0.0978221
ONT	Pre	0+	Heart-noSS500Rep1	spliced	intron	1017177	0.0650359
ONT	Pre	0+	Heart-noSS500Rep1	unspliced	exonOfNCT	1387610	0.651111
ONT	Pre	0+	Heart-noSS500Rep1	unspliced	intergenic	423948	0.19893
ONT	Pre	0+	Heart-noSS500Rep1	unspliced	intron	319583	0.149959
ONT	Pre	0+	HeartRep1	all	exonOfNCT	13723564	0.80465
ONT	Pre	0+	HeartRep1	all	intergenic	1953267	0.114525
ONT	Pre	0+	HeartRep1	all	intron	1378484	0.0808243
ONT	Pre	0+	HeartRep1	spliced	exonOfNCT	13298940	0.831343
ONT	Pre	0+	HeartRep1	spliced	intergenic	1615498	0.100988
ONT	Pre	0+	HeartRep1	spliced	intron	1082504	0.0676694
ONT	Pre	0+	HeartRep1	unspliced	exonOfNCT	1346408	0.629911
ONT	Pre	0+	HeartRep1	unspliced	intergenic	444616	0.208012
ONT	Pre	0+	HeartRep1	unspliced	intron	346432	0.162077
ONT	Pre	0+	Heart-TSORep1	all	exonOfNCT	18306125	0.707664
ONT	Pre	0+	Heart-TSORep1	all	intergenic	4064989	0.157141
ONT	Pre	0+	Heart-TSORep1	all	intron	3497287	0.135195
ONT	Pre	0+	Heart-TSORep1	spliced	exonOfNCT	16782890	0.788214
ONT	Pre	0+	Heart-TSORep1	spliced	intergenic	2654616	0.124675
ONT	Pre	0+	Heart-TSORep1	spliced	intron	1854797	0.0871111
ONT	Pre	0+	Heart-TSORep1	unspliced	exonOfNCT	4458481	0.53699
ONT	Pre	0+	Heart-TSORep1	unspliced	intergenic	1980009	0.238477
ONT	Pre	0+	Heart-TSORep1	unspliced	intron	1864240	0.224533
ONT	Pre	0+	LiverRep1	all	exonOfNCT	10832139	0.817957
ONT	Pre	0+	LiverRep1	all	intergenic	1246349	0.0941143
ONT	Pre	0+	LiverRep1	all	intron	1164436	0.0879289
ONT	Pre	0+	LiverRep1	spliced	exonOfNCT	10575514	0.845247
ONT	Pre	0+	LiverRep1	spliced	intergenic	1038478	0.0830003
ONT	Pre	0+	LiverRep1	spliced	intron	897753	0.0717528
ONT	Pre	0+	LiverRep1	unspliced	exonOfNCT	871942	0.588116
ONT	Pre	0+	LiverRep1	unspliced	intergenic	264585	0.17846
ONT	Pre	0+	LiverRep1	unspliced	intron	346076	0.233425
ONT	Pre	0+	OvaryRep1	all	exonOfNCT	15783119	0.800115
ONT	Pre	0+	OvaryRep1	all	intergenic	2219354	0.112509
ONT	Pre	0+	OvaryRep1	all	intron	1723600	0.0873767
ONT	Pre	0+	OvaryRep1	spliced	exonOfNCT	15261797	0.817518
ONT	Pre	0+	OvaryRep1	spliced	intergenic	1875375	0.100457
ONT	Pre	0+	OvaryRep1	spliced	intron	1531281	0.0820251
ONT	Pre	0+	OvaryRep1	unspliced	exonOfNCT	1931193	0.732863
ONT	Pre	0+	OvaryRep1	unspliced	intergenic	464580	0.176302
ONT	Pre	0+	OvaryRep1	unspliced	intron	239362	0.0908348
ONT	Pre	0+	ShieldRep1	all	exonOfNCT	15520624	0.674571
ONT	Pre	0+	ShieldRep1	all	intergenic	3789094	0.164685
ONT	Pre	0+	ShieldRep1	all	intron	3698407	0.160744
ONT	Pre	0+	ShieldRep1	spliced	exonOfNCT	14696274	0.726785
ONT	Pre	0+	ShieldRep1	spliced	intergenic	2747753	0.135887
ONT	Pre	0+	ShieldRep1	spliced	intron	2776899	0.137328
ONT	Pre	0+	ShieldRep1	unspliced	exonOfNCT	2841502	0.538447
ONT	Pre	0+	ShieldRep1	unspliced	intergenic	1315491	0.249277
ONT	Pre	0+	ShieldRep1	unspliced	intron	1120224	0.212276
ONT	Pre	0+	Testis-noSS500Rep1	all	exonOfNCT	11695905	0.731043
ONT	Pre	0+	Testis-noSS500Rep1	all	intergenic	2580986	0.161323
ONT	Pre	0+	Testis-noSS500Rep1	all	intron	1722027	0.107634
ONT	Pre	0+	Testis-noSS500Rep1	spliced	exonOfNCT	11180817	0.764968
ONT	Pre	0+	Testis-noSS500Rep1	spliced	intergenic	2066028	0.141353
ONT	Pre	0+	Testis-noSS500Rep1	spliced	intron	1369210	0.0936785
ONT	Pre	0+	Testis-noSS500Rep1	unspliced	exonOfNCT	1444156	0.566018
ONT	Pre	0+	Testis-noSS500Rep1	unspliced	intergenic	695870	0.272737
ONT	Pre	0+	Testis-noSS500Rep1	unspliced	intron	411406	0.161245
ONT	Pre	0+	TestisRep1	all	exonOfNCT	14269881	0.697524
ONT	Pre	0+	TestisRep1	all	intergenic	3588355	0.175402
ONT	Pre	0+	TestisRep1	all	intron	2599664	0.127074
ONT	Pre	0+	TestisRep1	spliced	exonOfNCT	13572770	0.735897
ONT	Pre	0+	TestisRep1	spliced	intergenic	2841777	0.154077
ONT	Pre	0+	TestisRep1	spliced	intron	2029294	0.110026
ONT	Pre	0+	TestisRep1	unspliced	exonOfNCT	1964176	0.541573
ONT	Pre	0+	TestisRep1	unspliced	intergenic	993030	0.273803
ONT	Pre	0+	TestisRep1	unspliced	intron	669593	0.184624
ONT	Pre	0+	Testis-TSORep1	all	exonOfNCT	19457876	0.737689
ONT	Pre	0+	Testis-TSORep1	all	intergenic	4383666	0.166194
ONT	Pre	0+	Testis-TSORep1	all	intron	2535260	0.096117
ONT	Pre	0+	Testis-TSORep1	spliced	exonOfNCT	17683037	0.807657
ONT	Pre	0+	Testis-TSORep1	spliced	intergenic	2718877	0.124182
ONT	Pre	0+	Testis-TSORep1	spliced	intron	1492338	0.0681612
ONT	Pre	0+	Testis-TSORep1	unspliced	exonOfNCT	5048281	0.601638
ONT	Pre	0+	Testis-TSORep1	unspliced	intergenic	2171008	0.258734
ONT	Pre	0+	Testis-TSORep1	unspliced	intron	1171611	0.139629
