seqTech	capDesign	sizeFrac	sampleRep	biotype	readOverlapsCount	readOverlapsPercent
ONT	Pre	0+	BrainRep1	nonExonic	322741	0.0274394
ONT	Pre	0+	BrainRep1	protein_coding	10727154	0.912022
ONT	Pre	0+	BrainRep1	pseudogene	7035	0.000598115
ONT	Pre	0+	BrainRep1	rRNA	255	2.16801e-05
ONT	Pre	0+	Heart-noSS500Rep1	lncRNA	541013	0.0393918
ONT	Pre	0+	Heart-noSS500Rep1	miRNA	213	1.55088e-05
ONT	Pre	0+	Heart-noSS500Rep1	misc_RNA	1036	7.54324e-05
ONT	Pre	0+	Heart-noSS500Rep1	nonExonic	165832	0.0120744
ONT	Pre	0+	Heart-noSS500Rep1	protein_coding	13018025	0.947858
ONT	Pre	0+	Heart-noSS500Rep1	pseudogene	7909	0.000575864
ONT	Pre	0+	Heart-noSS500Rep1	rRNA	129	9.39264e-06
ONT	Pre	0+	HeartRep1	lncRNA	546694	0.0441843
ONT	Pre	0+	HeartRep1	miRNA	177	1.43053e-05
ONT	Pre	0+	HeartRep1	misc_RNA	935	7.55675e-05
ONT	Pre	0+	HeartRep1	nonExonic	146920	0.0118742
ONT	Pre	0+	HeartRep1	protein_coding	11669514	0.94314
ONT	Pre	0+	HeartRep1	pseudogene	8672	0.000700879
ONT	Pre	0+	HeartRep1	rRNA	127	1.02643e-05
ONT	Pre	0+	Heart-TSORep1	lncRNA	286137	0.0368722
ONT	Pre	0+	Heart-TSORep1	miRNA	1344	0.000173191
ONT	Pre	0+	Heart-TSORep1	misc_RNA	1379	0.000177701
ONT	Pre	0+	Heart-TSORep1	nonExonic	933739	0.120324
ONT	Pre	0+	Heart-TSORep1	protein_coding	6519788	0.840153
ONT	Pre	0+	Heart-TSORep1	pseudogene	16580	0.00213653
ONT	Pre	0+	Heart-TSORep1	rRNA	1270	0.000163655
ONT	Pre	0+	LiverRep1	lncRNA	418135	0.029975
ONT	Pre	0+	LiverRep1	miRNA	55	3.94281e-06
ONT	Pre	0+	LiverRep1	misc_RNA	2238	0.000160436
ONT	Pre	0+	LiverRep1	nonExonic	143339	0.0102756
ONT	Pre	0+	LiverRep1	protein_coding	13375158	0.95883
ONT	Pre	0+	LiverRep1	pseudogene	10310	0.000739097
ONT	Pre	0+	LiverRep1	rRNA	223	1.59863e-05
ONT	Pre	0+	OvaryRep1	lncRNA	199671	0.0207097
ONT	Pre	0+	OvaryRep1	miRNA	165	1.71136e-05
ONT	Pre	0+	OvaryRep1	misc_RNA	1461	0.000151533
ONT	Pre	0+	OvaryRep1	nonExonic	162530	0.0168574
ONT	Pre	0+	OvaryRep1	protein_coding	9232736	0.957609
ONT	Pre	0+	OvaryRep1	pseudogene	44807	0.00464733
ONT	Pre	0+	OvaryRep1	rRNA	74	7.6752e-06
ONT	Pre	0+	ShieldRep1	lncRNA	407526	0.0353562
ONT	Pre	0+	ShieldRep1	miRNA	252	2.18631e-05
ONT	Pre	0+	ShieldRep1	misc_RNA	9045	0.000784728
ONT	Pre	0+	ShieldRep1	nonExonic	385702	0.0334628
ONT	Pre	0+	ShieldRep1	protein_coding	10719702	0.930022
ONT	Pre	0+	ShieldRep1	pseudogene	3930	0.00034096
ONT	Pre	0+	ShieldRep1	rRNA	134	1.16256e-05
ONT	Pre	0+	Testis-noSS500Rep1	lncRNA	534317	0.0581276
ONT	Pre	0+	Testis-noSS500Rep1	miRNA	2594	0.000282198
ONT	Pre	0+	Testis-noSS500Rep1	misc_RNA	5152	0.000560479
ONT	Pre	0+	Testis-noSS500Rep1	nonExonic	695793	0.0756943
ONT	Pre	0+	Testis-noSS500Rep1	protein_coding	7945848	0.864418
ONT	Pre	0+	Testis-noSS500Rep1	pseudogene	8332	0.000906427
ONT	Pre	0+	Testis-noSS500Rep1	rRNA	104	1.1314e-05
ONT	Pre	0+	TestisRep1	lncRNA	709133	0.0588645
ONT	Pre	0+	TestisRep1	miRNA	4445	0.000368975
ONT	Pre	0+	TestisRep1	misc_RNA	5528	0.000458874
ONT	Pre	0+	TestisRep1	nonExonic	981772	0.081496
ONT	Pre	0+	TestisRep1	protein_coding	10333115	0.857743
ONT	Pre	0+	TestisRep1	pseudogene	12704	0.00105455
ONT	Pre	0+	TestisRep1	rRNA	176	1.46096e-05
ONT	Pre	0+	Testis-TSORep1	lncRNA	216571	0.0387809
ONT	Pre	0+	Testis-TSORep1	miRNA	6376	0.00114174
ONT	Pre	0+	Testis-TSORep1	misc_RNA	3038	0.000544008
ONT	Pre	0+	Testis-TSORep1	nonExonic	968868	0.173493
ONT	Pre	0+	Testis-TSORep1	protein_coding	4379758	0.784274
ONT	Pre	0+	Testis-TSORep1	pseudogene	9181	0.00164402
ONT	Pre	0+	Testis-TSORep1	rRNA	685	0.000122661
